AptamerID,Target,MeanEnergy,
AB1-53,AB-Fubinaca,-111.5307741,
AB1-53,Acetyl fentanyl,-112.9283219,
AB1-53,Cocaine,-113.981102,
AB1-53,Fentanyl,-111.9498862,
AB1-53,Flunixin,-111.723725,
AB1-53,Furanyl fentanyl,-110.8443283,
AB1-53,Heroin,-132.5198087,
AB1-53,(+)-Methamphetamine,-90.6723224,
AB1-53,Morphine,-116.9907582,
AB1-53,Oxycodone,-124.501653,
AB2-53,AB-Fubinaca,-99.9462204,
AB2-53,Acetyl fentanyl,-132.6713616,
AB2-53,Cocaine,-120.6851594,
AB2-53,Fentanyl,-111.2917441,
AB2-53,Flunixin,-94.57202869,
AB2-53,Furanyl fentanyl,-129.316184,
AB2-53,Heroin,-128.902673,
AB2-53,(+)-Methamphetamine,-75.57193078,
AB2-53,Morphine,-102.317944,
AB2-53,Oxycodone,-113.3511498,
AB3-53,AB-Fubinaca,-111.5376526,
AB3-53,Acetyl fentanyl,-142.4108356,
AB3-53,Cocaine,-129.434745,
AB3-53,Fentanyl,-137.551225,
AB3-53,Flunixin,-99.90440118,
AB3-53,Furanyl fentanyl,-147.4039822,
AB3-53,Heroin,-140.4397837,
AB3-53,(+)-Methamphetamine,-80.5383265,
AB3-53,Morphine,-110.2708857,
AB3-53,Oxycodone,-120.7826002,
AB4-53,AB-Fubinaca,-102.1110633,
AB4-53,Acetyl fentanyl,-125.7492395,
AB4-53,Cocaine,-120.8067054,
AB4-53,Fentanyl,-118.9397746,
AB4-53,Flunixin,-114.3038388,
AB4-53,Furanyl fentanyl,-115.7350638,
AB4-53,Heroin,-119.8492714,
AB4-53,(+)-Methamphetamine,-106.7973816,
AB4-53,Morphine,-120.9976321,
AB4-53,Oxycodone,-126.7576639,
AMB1,AB-Fubinaca,-63.95929417,
AMB1,Acetyl fentanyl,-74.23703324,
AMB1,Cocaine,-76.77038707,
AMB1,Fentanyl,-74.3124112,
AMB1,Flunixin,-65.1625296,
AMB1,Furanyl fentanyl,-79.34418944,
AMB1,Heroin,-80.73760701,
AMB1,(+)-Methamphetamine,-54.30428962,
AMB1,Morphine,-67.47414617,
AMB1,Oxycodone,-72.53002049,
AMB25,AB-Fubinaca,-82.11697632,
AMB25,Acetyl fentanyl,-76.64654372,
AMB25,Cocaine,-97.23528005,
AMB25,Fentanyl,-83.30915073,
AMB25,Flunixin,-75.14716758,
AMB25,Furanyl fentanyl,-87.99552368,
AMB25,Heroin,-116.4265301,
AMB25,(+)-Methamphetamine,-65.09485428,
AMB25,Morphine,-105.9558037,
AMB25,Oxycodone,-111.2088365,
AMB2F,AB-Fubinaca,-54.98416439,
AMB2F,Acetyl fentanyl,-51.28584927,
AMB2F,Cocaine,-58.42657332,
AMB2F,Fentanyl,-44.8979531,
AMB2F,Flunixin,-63.29970173,
AMB2F,Furanyl fentanyl,-45.15706512,
AMB2F,Heroin,-59.080148,
AMB2F,(+)-Methamphetamine,-59.03669854,
AMB2F,Morphine,-65.15428506,
AMB2F,Oxycodone,-69.35857923,
AMB2P,AB-Fubinaca,-60.93827413,
AMB2P,Acetyl fentanyl,-58.79530738,
AMB2P,Cocaine,-59.68165984,
AMB2P,Fentanyl,-57.80483151,
AMB2P,Flunixin,-55.92715847,
AMB2P,Furanyl fentanyl,-55.75249317,
AMB2P,Heroin,-55.01754554,
