AptamerID,Target,MeanEnergy,
AB1-53,AB-Fubinaca,-111.5307741,
AB1-53,Acetaminophen,-99.09873862,
AB1-53,Acetyl fentanyl,-112.9283219,
AB1-53,Alprazolam,-124.7865551,
AB1-53,Amoxapine,-104.8848657,
AB1-53,Amphetamine,-75.38483607,
AB1-53,Benzocaine,-119.6465096,
AB1-53,Benzoylecgonine,-122.7425228,
AB1-53,Benztropine,-110.5339617,
AB1-53,Bupropion,-107.763857,
AB1-53,Caffeine,-101.8571607,
AB1-53,Chlorpromazine,-94.64288934,
AB1-53,Citalopram,-114.5114458,
AB1-53,Clomipramine,-93.58388434,
AB1-53,Clonazepam,-118.2959153,
AB1-53,Clonixin,-92.31658925,
AB1-53,Cocaine,-113.981102,
AB1-53,Codeine,-118.567475,
AB1-53,Diazepam,-97.74416667,
AB1-53,Diphenhydramine,-101.9027869,
AB1-53,Dopac,-103.3169718,
AB1-53,Dopamine,-96.47634107,
AB1-53,Ephedrine,-98.50402095,
AB1-53,Epinephrine,-115.1613092,
AB1-53,Ethylone,-101.831423,
AB1-53,Fentanyl,-111.9498862,
AB1-53,Flunixin,-111.723725,
AB1-53,Fluoxetine,-96.75062158,
AB1-53,Furanyl fentanyl,-110.8443283,
AB1-53,GABA,-87.92422359,
AB1-53,Glycine,-69.65416439,
AB1-53,Heroin,-132.5198087,
AB1-53,Homovanillic acid,-99.61061703,
AB1-53,Ibuprofen,-103.176291,
AB1-53,LSD,-127.4479326,
AB1-53,Lactose,-177.8117327,
AB1-53,Levamisole,-96.60155282,
AB1-53,Lidocaine,-103.5898383,
AB1-53,Lorazepam,-99.44428734,
AB1-53,M3P1P,-100.4867851,
AB1-53,MDMA,-104.8457673,
AB1-53,Mannitol,-150.9747723,
AB1-53,Mephedrone,-91.31889117,
AB1-53,Methadone,-97.7935929,
AB1-53,Methamphetamine,-90.6723224,
AB1-53,Methylenedioxypyrovalerone,-113.8489276,
AB1-53,Methylphenidate,-106.4620742,
AB1-53,Morphine,-116.9907582,
AB1-53,Naloxone,-127.9633379,
AB1-53,Naltrexone,-127.6898019,
AB1-53,Nicotine,-99.27578097,
AB1-53,Norepinephrine,-117.8925137,
AB1-53,Normorphine,-127.6898019,
AB1-53,Oxycodone,-124.501653,
AB1-53,Papaverine,-101.9839936,
AB1-53,Phenylalanine,-92.99212432,
AB1-53,Pholedrine,-101.03801,
AB1-53,Procaine,-110.6100774,
AB1-53,Pseudoephedrine,-86.14754781,
AB1-53,Quinine,-123.5943033,
AB1-53,Scopolamine,-188.7552505,
AB1-53,Serotonin,-92.39054645,
AB1-53,Sumatriptan,-121.2332514,
AB1-53,Tramadol,-107.9445173,
AB1-53,L-Tryptophan,-106.1185405,
AB1-53,Tyramine,-86.59507969,
AB1-53,Tyrosine,-99.260551,
AB1-53,Xylazine,-82.53010929,
AB1-53,"N,N-dimethyltryptamine",-93.13908015,
AB2-53,AB-Fubinaca,-99.9462204,
AB2-53,Acetaminophen,-77.22407332,
AB2-53,Acetyl fentanyl,-132.6713616,
AB2-53,Alprazolam,-113.2215096,
AB2-53,Amoxapine,-91.51340847,
AB2-53,Amphetamine,-84.34653461,
AB2-53,Benzocaine,-95.82875455,
AB2-53,Benzoylecgonine,-109.6985132,
AB2-53,Benztropine,-101.2095036,
AB2-53,Bupropion,-107.5581922,
AB2-53,Caffeine,-100.5308607,
AB2-53,Chlorpromazine,-84.90091302,
AB2-53,Citalopram,-111.2723042,
AB2-53,Clomipramine,-82.67300091,
AB2-53,Clonazepam,-100.5107468,
AB2-53,Clonixin,-98.53125911,
AB2-53,Cocaine,-120.6851594,
AB2-53,Codeine,-104.5763661,
AB2-53,Diazepam,-96.31174636,
AB2-53,Diphenhydramine,-100.4362933,
AB2-53,Dopac,-86.7049704,
AB2-53,Dopamine,-87.70279144,
AB2-53,Ephedrine,-82.48893443,
AB2-53,Epinephrine,-90.26544854,
AB2-53,Ethylone,-105.9592851,
AB2-53,Fentanyl,-111.2917441,
AB2-53,Flunixin,-94.57202869,
AB2-53,Fluoxetine,-83.79710383,
AB2-53,Furanyl fentanyl,-129.316184,
AB2-53,GABA,-69.78510929,
AB2-53,Glycine,-54.69258652,
AB2-53,Heroin,-128.902673,
AB2-53,Homovanillic acid,-89.47324226,
AB2-53,Ibuprofen,-107.2231671,
AB2-53,LSD,-114.1632172,
AB2-53,Lactose,-154.2059335,
AB2-53,Levamisole,-91.85190801,
AB2-53,Lidocaine,-88.99642987,
AB2-53,Lorazepam,-83.66341985,
AB2-53,M3P1P,-114.2554121,
AB2-53,MDMA,-105.3499841,
AB2-53,Mannitol,-116.05199,
AB2-53,Mephedrone,-76.10314891,
AB2-53,Methadone,-110.6131762,
AB2-53,Methamphetamine,-75.57193078,
AB2-53,Methylenedioxypyrovalerone,-94.89367259,
AB2-53,Methylphenidate,-107.0718511,
AB2-53,Morphine,-102.317944,
AB2-53,Naloxone,-124.5215346,
AB2-53,Naltrexone,-116.5507081,
AB2-53,Nicotine,-89.00038934,
AB2-53,Norepinephrine,-90.5781694,
AB2-53,Normorphine,-116.5507081,
AB2-53,Oxycodone,-113.3511498,
AB2-53,Papaverine,-127.0737591,
AB2-53,Phenylalanine,-90.12391166,
AB2-53,Pholedrine,-98.08745674,
AB2-53,Procaine,-120.1379599,
AB2-53,Pseudoephedrine,-90.52854964,
AB2-53,Quinine,-111.8147382,
AB2-53,Scopolamine,-178.4598634,
AB2-53,Serotonin,-75.40711066,
AB2-53,Sumatriptan,-104.7551252,
AB2-53,Tramadol,-110.8612864,
AB2-53,L-Tryptophan,-85.9273816,
AB2-53,Tyramine,-83.88823998,
AB2-53,Tyrosine,-96.60730191,
AB2-53,Xylazine,-78.96986111,
AB2-53,"N,N-dimethyltryptamine",-100.1900546,
AB3-53,AB-Fubinaca,-111.5376526,
AB3-53,Acetaminophen,-80.23296448,
AB3-53,Acetyl fentanyl,-142.4108356,
AB3-53,Alprazolam,-124.2727391,
AB3-53,Amoxapine,-115.1757218,
AB3-53,Amphetamine,-90.20114754,
AB3-53,Benzocaine,-117.1714572,
AB3-53,Benzoylecgonine,-132.9096653,
AB3-53,Benztropine,-111.3957992,
AB3-53,Bupropion,-119.711357,
AB3-53,Caffeine,-116.7767145,
AB3-53,Chlorpromazine,-94.09693534,
AB3-53,Citalopram,-121.1311817,
AB3-53,Clomipramine,-100.1664026,
AB3-53,Clonazepam,-109.7486817,
AB3-53,Clonixin,-109.8376526,
AB3-53,Cocaine,-129.434745,
AB3-53,Codeine,-110.2746357,
AB3-53,Diazepam,-107.3615597,
AB3-53,Diphenhydramine,-109.1922017,
AB3-53,Dopac,-98.96979281,
AB3-53,Dopamine,-102.3247541,
AB3-53,Ephedrine,-87.95175319,
AB3-53,Epinephrine,-100.3162204,
AB3-53,Ethylone,-115.4977413,
AB3-53,Fentanyl,-137.551225,
AB3-53,Flunixin,-99.90440118,
AB3-53,Fluoxetine,-98.09904599,
AB3-53,Furanyl fentanyl,-147.4039822,
AB3-53,GABA,-74.66589936,
AB3-53,Glycine,-58.6728347,
AB3-53,Heroin,-140.4397837,
AB3-53,Homovanillic acid,-102.9579736,
AB3-53,Ibuprofen,-120.4884859,
AB3-53,LSD,-135.4444627,
AB3-53,Lactose,-173.194474,
AB3-53,Levamisole,-103.3880464,
AB3-53,Lidocaine,-104.4217919,
AB3-53,Lorazepam,-93.03658015,
AB3-53,M3P1P,-123.9508265,
AB3-53,MDMA,-116.2152049,
AB3-53,Mannitol,-129.84023,
AB3-53,Mephedrone,-99.63330601,
AB3-53,Methadone,-115.6371881,
AB3-53,Methamphetamine,-80.5383265,
AB3-53,Methylenedioxypyrovalerone,-111.4934267,
AB3-53,Methylphenidate,-116.6935724,
AB3-53,Morphine,-110.2708857,
AB3-53,Naloxone,-134.8458037,
AB3-53,Naltrexone,-133.0357536,
AB3-53,Nicotine,-99.81684199,
AB3-53,Norepinephrine,-92.68790756,
AB3-53,Normorphine,-133.0357536,
AB3-53,Oxycodone,-120.7826002,
AB3-53,Papaverine,-136.5563798,
AB3-53,Phenylalanine,-102.492097,
AB3-53,Pholedrine,-109.0834472,
AB3-53,Procaine,-132.6558834,
AB3-53,Pseudoephedrine,-95.62567623,
AB3-53,Quinine,-123.8494786,
AB3-53,Scopolamine,-202.838158,
AB3-53,Serotonin,-97.2586612,
AB3-53,Sumatriptan,-117.9106717,
